Sr. No.,Assigned To,Company Name,Website,Website Source,Resolution Confidence,Conflict Flag,Contact Person,Primary Email,Regarding Accessibility Email(s),Email Status,Website Verified,Scan Completed,Bot Block Status,Screenshot Taken,Status,Verified By,Remarks
"796","Unassigned","GPT Healthcare Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"797","Unassigned","GPT Infraprojects Limited","https://gptinfra.in","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"834","Unassigned","GP Petroleums Limited","https://gppetroleums.co.in","readymade-fallback","HIGH","NO","N/A","gppl@gpglobal.com","[Investor Grievance / Compliance Officer Email] rnt.helpdesk@in.mpms.mugf.com; [General Contact Email] gppl@gpglobal.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 27. Lighthouse A11y: 30/100."
"813","Unassigned","GRM Overseas Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"816","Unassigned","GRP Limited","https://grp.com.sg","readymade-fallback","HIGH","NO","N/A","investor@grp.com.sg","[General Contact Email] investor@grp.com.sg","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 2. Lighthouse A11y: 92/100."
"821","Unassigned","GSP Crop Science Limited","https://gspcrop.in","readymade-fallback","HIGH","NO","N/A","info@gspcrop.in","[General Contact Email (Guessed Pattern)] info@gspcrop.in; [Investor Grievance Email (Guessed Pattern)] contact@gspcrop.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"822","Unassigned","GSS Infotech Limited","https://gssinfotech.com","readymade-fallback","HIGH","NO","N/A","info@gssinfotech.com","[General Contact Email (Guessed Pattern)] info@gssinfotech.com; [Investor Grievance Email (Guessed Pattern)] contact@gssinfotech.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 10. Lighthouse A11y: 60/100."
"825","Unassigned","GTL Infrastructure Limited","https://gtlinfra.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"824","Unassigned","GTL Limited","https://gtllimited.com","readymade-fallback","HIGH","NO","N/A","info@gtllimited.com","[General Contact Email (Guessed Pattern)] info@gtllimited.com; [Investor Grievance Email (Guessed Pattern)] contact@gtllimited.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"826","Unassigned","GTPL Hathway Limited","https://gtpl.net","readymade-fallback","HIGH","NO","N/A","yoursupport@gtpl.net","[General Contact Email] yoursupport@gtpl.net","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 34. Lighthouse A11y: 30/100."
"830","Unassigned","GUJARAT ENERGY LIMITED","https://getri.org","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"836","Unassigned","GVK Power & Infrastructure Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"838","Unassigned","GVP Infotech Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"812","Unassigned","G R Infraprojects Limited","https://grinfra.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"823","Unassigned","G-TEC JAINX EDUCATION LIMITED","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"709","Unassigned","Gabriel India Limited","https://gabriellearruda.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"712","Unassigned","Gala Precision Engineering Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"713","Unassigned","Galaxy Surfactants Limited","https://galaxysurfactants.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"714","Unassigned","Gallantt Ispat Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"715","Unassigned","Gandhar Oil Refinery (India) Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"716","Unassigned","Gandhi Special Tubes Limited","https://gandhispecialtubes.com","readymade-fallback","HIGH","NO","N/A","info@gandhitubes.com","[Investor Grievance / Compliance Officer Email] complianceofficer@gandhitubes.com; [General Contact Email] info@gandhitubes.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 19. Lighthouse A11y: 30/100."
"718","Unassigned","Ganesh Benzoplast Limited","https://ganeshbenzoplast.com","readymade-fallback","HIGH","NO","N/A","info@gblinfra.com","[General Contact Email] info@gblinfra.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 15. Lighthouse A11y: 40/100."
"719","Unassigned","Ganesh Consumer Products Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"717","Unassigned","Ganesha Ecosphere Limited","https://ganeshaecosphere.com","readymade-fallback","HIGH","NO","N/A","info@ganeshaecosphere.com","[General Contact Email (Guessed Pattern)] info@ganeshaecosphere.com; [Investor Grievance Email (Guessed Pattern)] contact@ganeshaecosphere.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 34. Lighthouse A11y: 30/100."
"721","Unassigned","Ganga Forging Limited","https://gangaforging.com","readymade-fallback","HIGH","NO","N/A","info@gangaforging.com","[General Contact Email] info@gangaforging.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 10. Lighthouse A11y: 60/100."
"722","Unassigned","Ganges Securities Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"817","Unassigned","Garden Reach Shipbuilders & Engineers Limited","https://grse.in","readymade-fallback","HIGH","NO","N/A","info@grse.in","[General Contact Email (Guessed Pattern)] info@grse.in; [Investor Grievance Email (Guessed Pattern)] contact@grse.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 8. Lighthouse A11y: 68/100."
"724","Unassigned","Garuda Construction and Engineering Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"818","Unassigned","Garware Hi-Tech Films Limited","https://garwarehitechfilms.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"723","Unassigned","Garware Technical Fibres Limited","https://garwarefibres.com","readymade-fallback","HIGH","NO","N/A","sales@garwarefibres.com","[Investor Grievance / Compliance Officer Email] sales@garwarefibres.com; [General Contact Email] sales@garwarefibres.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 30. Lighthouse A11y: 30/100."
"727","Unassigned","Gateway Distriparks Limited","https://gatewaydistriparks.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"728","Unassigned","Gaudium IVF and Women Health Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"729","Unassigned","Gayatri Highways Limited","https://gayatrihighways.com","readymade-fallback","HIGH","NO","N/A","info@gayatrihighways.com","[General Contact Email (Guessed Pattern)] info@gayatrihighways.com; [Investor Grievance Email (Guessed Pattern)] contact@gayatrihighways.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 4. Lighthouse A11y: 84/100."
"730","Unassigned","Gayatri Projects Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"732","Unassigned","GeeCee Ventures Limited","https://geeceeventures.com","readymade-fallback","HIGH","NO","N/A","geecee.investor@gcvl.in","[General Contact Email] geecee.investor@gcvl.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 9. Lighthouse A11y: 64/100."
"733","Unassigned","Geekay Wires Limited","https://geekaywires.com","readymade-fallback","HIGH","NO","N/A","info@geekaywires.com","[General Contact Email] info@geekaywires.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 17. Lighthouse A11y: 32/100."
"734","Unassigned","Gem Aromatics Limited","https://gemaromatics.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"746","Unassigned","General Insurance Corporation of India","https://gicre.in","readymade-fallback","HIGH","NO","N/A","info@gicre.in","[General Contact Email] info@gicre.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 5. Lighthouse A11y: 80/100."
"735","Unassigned","Generic Engineering Construction and Projects Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"736","Unassigned","Genesys International Corporation Limited","https://igenesys.com","readymade-fallback","HIGH","NO","N/A","user@domain.com","[General Contact Email] user@domain.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 12. Lighthouse A11y: 52/100."
"737","Unassigned","Genus Paper & Boards Limited","https://genuspaper.com","readymade-fallback","HIGH","NO","N/A","info@genuspaper.com","[General Contact Email] info@genuspaper.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 4. Lighthouse A11y: 84/100."
"738","Unassigned","Genus Power Infrastructures Limited","https://genuspower.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"739","Unassigned","Geojit Financial Services Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"747","Unassigned","Gillanders Arbuthnot & Company Limited","https://gillandersarbuthnot.com","readymade-fallback","HIGH","NO","N/A","gillanders@gillandersarbuthnot.com","[Investor Grievance / Compliance Officer Email] gillanders@gillandersarbuthnot.com; [General Contact Email] gillanders@gillandersarbuthnot.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 2. Lighthouse A11y: 92/100."
"748","Unassigned","Gillette India Limited","https://gillette.com","readymade-fallback","HIGH","NO","N/A","name@example.com","[General Contact Email] name@example.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"749","Unassigned","Ginni Filaments Limited","https://ginnifilaments.com","readymade-fallback","HIGH","NO","N/A","secretarial@ginnifilaments.com","[Investor Grievance / Compliance Officer Email] secretarial@ginnifilaments.com; [General Contact Email] secretarial@ginnifilaments.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 4. Lighthouse A11y: 84/100."
"754","Unassigned","Gland Pharma Limited","https://glandpharma.com","readymade-fallback","HIGH","NO","N/A","gland@glandpharma.com","[General Contact Email] gland@glandpharma.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 45. Lighthouse A11y: 30/100."
"755","Unassigned","GlaxoSmithKline Pharmaceuticals Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"756","Unassigned","Glenmark Pharmaceuticals Limited","https://glenmarkpharma.com","readymade-fallback","HIGH","NO","N/A","einward.ris@kfintech.com","[Investor Grievance / Compliance Officer Email] einward.ris@kfintech.com; [General Contact Email] einward.ris@kfintech.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 5. Lighthouse A11y: 80/100."
"758","Unassigned","Global Education Limited","https://gedu.org","readymade-fallback","HIGH","NO","N/A","info@gedu.org","[General Contact Email (Guessed Pattern)] info@gedu.org; [Investor Grievance Email (Guessed Pattern)] contact@gedu.org","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"820","Unassigned","Global Surfaces Limited","https://globalsurfaces.in","readymade-fallback","HIGH","NO","N/A","info@globalsurfaces.com","[General Contact Email] info@globalsurfaces.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 17. Lighthouse A11y: 32/100."
"760","Unassigned","Global Vectra Helicorp Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"759","Unassigned","Globale Tessile Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"762","Unassigned","Globe Civil Projects Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"745","Unassigned","Globe International Carriers Limited","https://gicl.co","readymade-fallback","HIGH","NO","N/A","info@gicl.co","[General Contact Email (Guessed Pattern)] info@gicl.co; [Investor Grievance Email (Guessed Pattern)] contact@gicl.co","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"763","Unassigned","Globus Spirits Limited","https://globusspirits.com","readymade-fallback","HIGH","NO","N/A","corporateoffice@globusgroup.in","[Investor Grievance / Compliance Officer Email] ir@globusgroup.in; [General Contact Email] corporateoffice@globusgroup.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 13. Lighthouse A11y: 48/100."
"764","Unassigned","Gloster Limited","https://gloster.com","readymade-fallback","HIGH","NO","N/A","contact@gloster.com","[General Contact Email] contact@gloster.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 16. Lighthouse A11y: 36/100."
"765","Unassigned","Glottis Limited","https://glottislogistics.in","readymade-fallback","HIGH","NO","N/A","info@glottislogistics.in","[General Contact Email] info@glottislogistics.in","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 17. Lighthouse A11y: 32/100."
"779","Unassigned","Go Digit General Insurance Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"776","Unassigned","Go Fashion (India) Limited","https://go-fashion.co","readymade-fallback","HIGH","NO","N/A","info@go-fashion.co","[General Contact Email (Guessed Pattern)] info@go-fashion.co; [Investor Grievance Email (Guessed Pattern)] contact@go-fashion.co","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"774","Unassigned","Goa Carbon Limited","https://goacarbon.com","readymade-fallback","HIGH","NO","N/A","info@goacarbon.com","[General Contact Email (Guessed Pattern)] info@goacarbon.com; [Investor Grievance Email (Guessed Pattern)] contact@goacarbon.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"777","Unassigned","Godavari Biorefineries Limited","https://somaiya.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"794","Unassigned","Godawari Power And Ispat limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"778","Unassigned","Godfrey Phillips India Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"780","Unassigned","Godrej Agrovet Limited","https://godrejagrovet.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"781","Unassigned","Godrej Consumer Products Limited","https://godrejcp.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"782","Unassigned","Godrej Industries Limited","https://godrejchemicals.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"783","Unassigned","Godrej Properties Limited","https://godrejproperties.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (access denied)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (access denied)"
"784","Unassigned","Gokaldas Exports Limited","https://gokaldasexports.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"786","Unassigned","Gokul Agro Resources Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"785","Unassigned","Gokul Refoils and Solvent Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"787","Unassigned","Golden Tobacco Limited","https://goldentobacco.in","readymade-fallback","HIGH","NO","N/A","info@goldentobacco.in","[General Contact Email (Guessed Pattern)] info@goldentobacco.in; [Investor Grievance Email (Guessed Pattern)] contact@goldentobacco.in","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"788","Unassigned","Goldiam International Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"790","Unassigned","Goodluck India Limited","https://goodluckindia.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"791","Unassigned","Goodyear India Limited","https://goodyear.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"792","Unassigned","Gopal Snacks Limited","https://gopalnamkeen.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"793","Unassigned","Goyal Aluminiums Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"798","Unassigned","Gradiente Infotainment Limited","https://gradienteinfotainment.com","readymade-fallback","HIGH","NO","N/A","N/A","N/A","Not Found","Yes","No","Blocked (cloudflare)","No","Blocked (Bot Protection)","Orchavate Automated Tool v1.1","Blocked by Bot Protection (cloudflare)"
"799","Unassigned","Grand Oak Canyons Distillery Limited","https://Not Found","readymade-fallback","HIGH","NO","N/A","info@company.com","[General Contact Email (Guessed Pattern)] info@company.com; [Investor Grievance Email (Guessed Pattern)] contact@company.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
"800","Unassigned","Granules India Limited","https://granulesindia.com","readymade-fallback","HIGH","NO","N/A","mail@granulesindia.com","[General Contact Email] mail@granulesindia.com","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 9. Lighthouse A11y: 64/100."
"801","Unassigned","Graphite India Limited","https://graphite.com","readymade-fallback","HIGH","NO","N/A","white@2x.webp","[General Contact Email] white@2x.webp","Verified","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 1. Lighthouse A11y: 96/100."
"802","Unassigned","Grasim Industries Limited","https://grasim.com","readymade-fallback","HIGH","NO","N/A","info@grasim.com","[General Contact Email (Guessed Pattern)] info@grasim.com; [Investor Grievance Email (Guessed Pattern)] contact@grasim.com","Unverified - guessed pattern","Yes","Yes","None","Yes","Completed","Orchavate Automated Tool v1.1","Scanned 1 page. Violations: 0. Lighthouse A11y: 100/100."
